4.656720161437988281e+00,5.833519935607910156e+00,2.798729896545410156e+00
4.613180160522460938e+00,5.854370117187500000e+00,2.718830108642578125e+00
4.575669765472412109e+00,5.773509979248046875e+00,2.759919881820678711e+00
4.521019935607910156e+00,5.843979835510253906e+00,2.770550012588500977e+00
5.508389949798583984e+00,6.210330009460449219e+00,2.507859945297240767e+00
5.594639778137207031e+00,6.163499832153320312e+00,2.446069955825805664e+00
5.603950023651123047e+00,6.229000091552734375e+00,2.520309925079345703e+00
5.574850082397460938e+00,6.147180080413817471e+00,2.543570041656494141e+00
1.007279968261718750e+01,3.501470088958739790e+00,5.076879858970642090e-01
1.002470016479492010e+01,3.556050062179564986e+00,5.742189884185791016e-01
9.997369766235351562e+00,3.568799972534180132e+00,4.692830145359039307e-01
9.958000183105468750e+00,3.497060060501098189e+00,4.764010012149809681e-01
3.766570091247559038e+00,5.480820178985595703e+00,2.992909908294677734e+00
3.827409982681273526e+00,5.582970142364501953e+00,2.956530094146728516e+00
3.721669912338256836e+00,5.574250221252441406e+00,2.987250089645385742e+00
3.844150066375732866e+00,5.520410060882568359e+00,3.009259939193724698e+00
6.846590042114257812e+00,7.558730125427246094e+00,1.478909969329833984e+00
6.907450199127196377e+00,7.643799781799315518e+00,1.508509993553161621e+00
6.921939849853515625e+00,7.596479892730713779e+00,1.436720013618469238e+00
6.832449913024902344e+00,7.648449897766113281e+00,1.427060008049011230e+00
1.077480030059814453e+01,1.683310031890869141e+00,2.640650033950805664e+00
1.076809978485107422e+01,1.561269998550415039e+00,2.644200086593627930e+00
1.079290008544921875e+01,1.619009971618652344e+00,2.723099946975708008e+00
1.069680023193359197e+01,1.624050021171569824e+00,2.668040037155151811e+00
7.854189872741699219e+00,7.751959800720214844e+00,5.476749897003173828e+00
7.869969844818115234e+00,7.866849899291992188e+00,5.536590099334716797e+00
7.922500133514403409e+00,7.790019989013670099e+00,5.511400222778320312e+00
7.878049850463867188e+00,7.835899829864502841e+00,5.440360069274902344e+00
1.035359954833984375e+01,5.693150043487548828e+00,6.005479812622070312e+00
1.033450031280517578e+01,5.659110069274902344e+00,6.096290111541748047e+00
1.026949977874755859e+01,5.739999771118164062e+00,6.031990051269531250e+00
1.026379966735839844e+01,5.626739978790283203e+00,6.049990177154541016e+00
6.649980068206787109e+00,4.411550045013427734e+00,6.229569911956787109e+00
6.603909969329833984e+00,4.356780052185058594e+00,6.166470050811767578e+00
6.679840087890625000e+00,4.438759803771972656e+00,6.139709949493408203e+00
6.689010143280028409e+00,4.340549945831298828e+00,6.128960132598876953e+00
8.325679779052734375e+00,1.689869999885559082e+00,2.051759958267211914e+00
8.396450042724609375e+00,1.644379973411560059e+00,2.083529949188232422e+00
8.335339546203613281e+00,1.582630038261413574e+00,2.126130104064941406e+00
8.298040390014648438e+00,1.555850028991699219e+00,2.056309938430786133e+00
8.114700317382812500e+00,1.922530055046080877e+00,5.608220100402832031e-01
8.158940315246582031e+00,1.914720058441162109e+00,6.474949717521667480e-01
8.187419891357420099e+00,1.973080039024352805e+00,5.286179780960083008e-01
8.165539741516113281e+00,1.998829960823059526e+00,6.200050115585327148e-01
7.131199836730957031e+00,2.656100034713744673e+00,2.484600067138671875e+00
7.212409973144531250e+00,2.610909938812255859e+00,2.486299991607666016e+00
7.196030139923095703e+00,2.657989978790283203e+00,2.570699930191040039e+00
7.134799957275392401e+00,2.553499937057495117e+00,2.520920038223266602e+00
9.267109870910640979e+00,7.409709930419922763e+00,2.577150106430053711e+00
9.215720176696775567e+00,7.482140064239502841e+00,2.532809972763060635e+00
9.281290054321287286e+00,7.407579898834227627e+00,2.491859912872314453e+00
9.204730033874511719e+00,7.421350002288817471e+00,2.456599950790404829e+00
6.484620094299316406e+00,3.485249996185302734e+00,5.434959888458251953e+00
6.473790168762207031e+00,3.599100112915039062e+00,5.427569866180419922e+00
6.417819976806640625e+00,3.519330024719238281e+00,5.381470203399656427e+00
6.385849952697753906e+00,3.570610046386718750e+00,5.454979896545408380e+00
5.703790187835692471e+00,7.201250076293944424e+00,2.004669904708862305e+00
5.795599937438964844e+00,7.134749889373779297e+00,2.038269996643066406e+00
5.782279968261719638e+00,7.198910236358642578e+00,1.939399957656860352e+00
5.799270153045654297e+00,7.245259761810302734e+00,2.036230087280272993e+00
5.392779827117919922e+00,5.299990177154541016e-01,4.471250057220457208e+00
5.377069950103759766e+00,5.194690227508544922e-01,4.572549819946289062e+00
5.378220081329345703e+00,6.114789843559265137e-01,4.558229923248291016e+00
5.309309959411621094e+00,5.498380064964294434e-01,4.515920162200927734e+00
3.296139955520628995e+00,2.172940015792846236e+00,1.506510019302367942e+00
3.339809894561767578e+00,2.220230102539062500e+00,1.578259944915771484e+00
3.386859893798828125e+00,2.272370100021362305e+00,1.518519997596740723e+00
3.298470020294189009e+00,2.276299953460693359e+00,1.482040047645568848e+00
5.367630004882812500e+00,6.356009960174560547e+00,7.399889945983886719e+00
5.425730228424072266e+00,6.346260070800780362e+00,7.329199790954590732e+00
5.499239921569824219e+00,6.360209941864013672e+00,7.382979869842529297e+00
5.426549911499024326e+00,6.294159889221192294e+00,7.424729824066161221e+00
7.602930068969726562e+00,2.213190048933028897e-01,3.200510025024414062e+00
7.588679790496825284e+00,3.161160051822662354e-01,3.224750041961668590e+00
7.509230136871337891e+00,2.197059988975524902e-01,3.229190111160278320e+00
7.589139938354493076e+00,2.264869958162308017e-01,3.287280082702636719e+00
9.502149581909181464e+00,2.807389974594116211e+00,5.635719776153564453e+00
9.575019836425779474e+00,2.878580093383788618e+00,5.652939796447753906e+00
9.601110458374023438e+00,2.826910018920898438e+00,5.568009853363037109e+00
9.466750144958496094e+00,2.867939949035644531e+00,5.568019866943359375e+00
9.508629798889160156e+00,7.853469848632812500e+00,3.487910032272338867e+00
9.453650474548339844e+00,7.853380203247070312e+00,3.569610118865966797e+00
9.460639953613279474e+00,7.928669929504393643e+00,3.503560066223144531e+00
9.396030426025390625e+00,7.864570140838622159e+00,3.477060079574584961e+00
9.249589920043943536e+00,4.353400230407714844e+00,6.600840091705319601e+00
9.181619644165040839e+00,4.322690010070800781e+00,6.535769939422608310e+00
9.228859901428222656e+00,4.243549823760985440e+00,6.556290149688720703e+00
9.177140235900880683e+00,4.293270111083984375e+00,6.650660037994384766e+00
9.091919898986816406e+00,4.451049804687500000e+00,6.581600189208984375e+00
9.218139648437500000e+00,4.468460083007812500e+00,6.607510089874267578e+00
9.123339653015136719e+00,4.512629985809326172e+00,6.637169837951660156e+00
9.153929710388183594e+00,4.385129928588867188e+00,6.643159866333007812e+00
6.226590156555175781e+00,3.426959991455078125e+00,9.382089614868164062e+00
6.265570163726808417e+00,3.497440099716186523e+00,9.460439682006835938e+00
6.177690029144287109e+00,3.474780082702636719e+00,9.435449600219726562e+00
